index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
98,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,16.0,16.0,42.0,42.0,4.799e-11,4.291e-11,4.545e-11,25.0,1
99,1.0,1.0,2.0,4.0,1.0,1.0,5.0,5.0,16.0,16.0,44.0,44.0,4.801e-11,4.297e-11,4.549e-11,25.0,1
100,1.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,12.0,12.0,40.0,40.0,4.848e-11,4.371e-11,4.61e-11,25.0,1
101,1.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,12.0,12.0,42.0,42.0,4.852e-11,4.38e-11,4.616e-11,25.0,1
102,1.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,12.0,12.0,44.0,44.0,4.859e-11,4.389e-11,4.624e-11,25.0,1
103,1.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,14.0,14.0,40.0,40.0,4.839e-11,4.355e-11,4.597e-11,25.0,1
104,1.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,14.0,14.0,42.0,42.0,4.842e-11,4.362e-11,4.602e-11,25.0,1
105,1.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,14.0,14.0,44.0,44.0,4.846e-11,4.367e-11,4.607e-11,25.0,1
106,1.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,16.0,16.0,40.0,40.0,4.846e-11,4.354e-11,4.6e-11,25.0,1
107,1.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,16.0,16.0,42.0,42.0,4.846e-11,4.358e-11,4.602e-11,25.0,1
108,1.0,1.0,2.0,4.0,1.0,1.0,6.0,6.0,16.0,16.0,44.0,44.0,4.849e-11,4.362e-11,4.605e-11,25.0,1
109,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,12.0,12.0,40.0,40.0,4.582e-11,4.033e-11,4.308e-11,25.0,1
110,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,12.0,12.0,42.0,42.0,4.587e-11,4.044e-11,4.316e-11,25.0,1
111,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,12.0,12.0,44.0,44.0,4.595e-11,4.053e-11,4.324e-11,25.0,1
112,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,14.0,14.0,40.0,40.0,4.591e-11,4.033e-11,4.312e-11,25.0,1
113,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,14.0,14.0,42.0,42.0,4.594e-11,4.039e-11,4.316e-11,25.0,1
114,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,14.0,14.0,44.0,44.0,4.599e-11,4.047e-11,4.323e-11,25.0,1
115,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,16.0,16.0,40.0,40.0,4.614e-11,4.046e-11,4.33e-11,25.0,1
116,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,16.0,16.0,42.0,42.0,4.616e-11,4.051e-11,4.333e-11,25.0,1
117,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,16.0,16.0,44.0,44.0,4.618e-11,4.055e-11,4.337e-11,25.0,1
118,1.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,12.0,12.0,40.0,40.0,4.559e-11,4.027e-11,4.293e-11,25.0,1
119,1.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,12.0,12.0,42.0,42.0,4.565e-11,4.036e-11,4.301e-11,25.0,1
120,1.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,12.0,12.0,44.0,44.0,4.571e-11,4.047e-11,4.309e-11,25.0,1
121,1.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,14.0,14.0,40.0,40.0,4.557e-11,4.015e-11,4.286e-11,25.0,1
122,1.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,14.0,14.0,42.0,42.0,4.559e-11,4.021e-11,4.29e-11,25.0,1
123,1.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,14.0,14.0,44.0,44.0,4.563e-11,4.027e-11,4.295e-11,25.0,1
124,1.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,16.0,16.0,40.0,40.0,4.567e-11,4.016e-11,4.292e-11,25.0,1
125,1.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,16.0,16.0,42.0,42.0,4.568e-11,4.019e-11,4.294e-11,25.0,1
126,1.0,1.0,2.0,4.0,2.0,2.0,5.0,5.0,16.0,16.0,44.0,44.0,4.571e-11,4.024e-11,4.297e-11,25.0,1
127,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,12.0,12.0,40.0,40.0,4.564e-11,4.042e-11,4.303e-11,25.0,1
128,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,12.0,12.0,42.0,42.0,4.569e-11,4.052e-11,4.31e-11,25.0,1
129,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,12.0,12.0,44.0,44.0,4.575e-11,4.062e-11,4.319e-11,25.0,1
130,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,14.0,14.0,40.0,40.0,4.553e-11,4.022e-11,4.288e-11,25.0,1
131,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,14.0,14.0,42.0,42.0,4.555e-11,4.028e-11,4.292e-11,25.0,1
132,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,14.0,14.0,44.0,44.0,4.559e-11,4.035e-11,4.297e-11,25.0,1
133,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,16.0,16.0,40.0,40.0,4.555e-11,4.017e-11,4.286e-11,25.0,1
134,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,16.0,16.0,42.0,42.0,4.556e-11,4.021e-11,4.289e-11,25.0,1
135,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,16.0,16.0,44.0,44.0,4.558e-11,4.028e-11,4.293e-11,25.0,1
136,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,12.0,12.0,40.0,40.0,4.582e-11,4.025e-11,4.303e-11,25.0,1
137,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,12.0,12.0,42.0,42.0,4.588e-11,4.034e-11,4.311e-11,25.0,1
138,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,12.0,12.0,44.0,44.0,4.594e-11,4.044e-11,4.319e-11,25.0,1
