index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,tplh,tphl,tp,temper,alter#
124,3.0,2.0,1.0,2.0,3.0,3.0,12.0,12.0,33.0,33.0,3.842e-11,3.801e-11,3.822e-11,25.0,1
125,3.0,2.0,1.0,2.0,3.0,3.0,12.0,12.0,35.0,35.0,3.843e-11,3.804e-11,3.824e-11,25.0,1
126,3.0,2.0,1.0,2.0,3.0,3.0,12.0,12.0,37.0,37.0,3.843e-11,3.812e-11,3.828e-11,25.0,1
127,3.0,2.0,1.0,2.0,4.0,4.0,8.0,8.0,33.0,33.0,3.853e-11,3.838e-11,3.845e-11,25.0,1
128,3.0,2.0,1.0,2.0,4.0,4.0,8.0,8.0,35.0,35.0,3.861e-11,3.85e-11,3.856e-11,25.0,1
129,3.0,2.0,1.0,2.0,4.0,4.0,8.0,8.0,37.0,37.0,3.87e-11,3.866e-11,3.868e-11,25.0,1
130,3.0,2.0,1.0,2.0,4.0,4.0,10.0,10.0,33.0,33.0,3.826e-11,3.797e-11,3.811e-11,25.0,1
131,3.0,2.0,1.0,2.0,4.0,4.0,10.0,10.0,35.0,35.0,3.828e-11,3.806e-11,3.817e-11,25.0,1
132,3.0,2.0,1.0,2.0,4.0,4.0,10.0,10.0,37.0,37.0,3.834e-11,3.815e-11,3.824e-11,25.0,1
133,3.0,2.0,1.0,2.0,4.0,4.0,12.0,12.0,33.0,33.0,3.829e-11,3.792e-11,3.81e-11,25.0,1
134,3.0,2.0,1.0,2.0,4.0,4.0,12.0,12.0,35.0,35.0,3.828e-11,3.796e-11,3.812e-11,25.0,1
135,3.0,2.0,1.0,2.0,4.0,4.0,12.0,12.0,37.0,37.0,3.829e-11,3.803e-11,3.816e-11,25.0,1
136,3.0,2.0,2.0,4.0,2.0,2.0,8.0,8.0,33.0,33.0,3.986e-11,3.956e-11,3.971e-11,25.0,1
137,3.0,2.0,2.0,4.0,2.0,2.0,8.0,8.0,35.0,35.0,3.995e-11,3.972e-11,3.983e-11,25.0,1
138,3.0,2.0,2.0,4.0,2.0,2.0,8.0,8.0,37.0,37.0,4.007e-11,3.986e-11,3.996e-11,25.0,1
139,3.0,2.0,2.0,4.0,2.0,2.0,10.0,10.0,33.0,33.0,4.018e-11,3.968e-11,3.993e-11,25.0,1
140,3.0,2.0,2.0,4.0,2.0,2.0,10.0,10.0,35.0,35.0,4.022e-11,3.977e-11,4e-11,25.0,1
141,3.0,2.0,2.0,4.0,2.0,2.0,10.0,10.0,37.0,37.0,4.027e-11,3.987e-11,4.007e-11,25.0,1
142,3.0,2.0,2.0,4.0,2.0,2.0,12.0,12.0,33.0,33.0,4.082e-11,4.013e-11,4.047e-11,25.0,1
143,3.0,2.0,2.0,4.0,2.0,2.0,12.0,12.0,35.0,35.0,4.083e-11,4.02e-11,4.051e-11,25.0,1
144,3.0,2.0,2.0,4.0,2.0,2.0,12.0,12.0,37.0,37.0,4.085e-11,4.027e-11,4.056e-11,25.0,1
145,3.0,2.0,2.0,4.0,3.0,3.0,8.0,8.0,33.0,33.0,3.867e-11,3.855e-11,3.861e-11,25.0,1
146,3.0,2.0,2.0,4.0,3.0,3.0,8.0,8.0,35.0,35.0,3.875e-11,3.869e-11,3.872e-11,25.0,1
147,3.0,2.0,2.0,4.0,3.0,3.0,8.0,8.0,37.0,37.0,3.883e-11,3.884e-11,3.883e-11,25.0,1
148,3.0,2.0,2.0,4.0,3.0,3.0,10.0,10.0,33.0,33.0,3.857e-11,3.828e-11,3.842e-11,25.0,1
149,3.0,2.0,2.0,4.0,3.0,3.0,10.0,10.0,35.0,35.0,3.859e-11,3.836e-11,3.848e-11,25.0,1
150,3.0,2.0,2.0,4.0,3.0,3.0,10.0,10.0,37.0,37.0,3.865e-11,3.846e-11,3.856e-11,25.0,1
151,3.0,2.0,2.0,4.0,3.0,3.0,12.0,12.0,33.0,33.0,3.877e-11,3.835e-11,3.856e-11,25.0,1
152,3.0,2.0,2.0,4.0,3.0,3.0,12.0,12.0,35.0,35.0,3.877e-11,3.84e-11,3.859e-11,25.0,1
153,3.0,2.0,2.0,4.0,3.0,3.0,12.0,12.0,37.0,37.0,3.881e-11,3.847e-11,3.864e-11,25.0,1
154,3.0,2.0,2.0,4.0,4.0,4.0,8.0,8.0,33.0,33.0,3.841e-11,3.833e-11,3.837e-11,25.0,1
155,3.0,2.0,2.0,4.0,4.0,4.0,8.0,8.0,35.0,35.0,3.85e-11,3.846e-11,3.848e-11,25.0,1
156,3.0,2.0,2.0,4.0,4.0,4.0,8.0,8.0,37.0,37.0,3.857e-11,3.863e-11,3.86e-11,25.0,1
157,3.0,2.0,2.0,4.0,4.0,4.0,10.0,10.0,33.0,33.0,3.81e-11,3.788e-11,3.799e-11,25.0,1
158,3.0,2.0,2.0,4.0,4.0,4.0,10.0,10.0,35.0,35.0,3.814e-11,3.795e-11,3.805e-11,25.0,1
159,3.0,2.0,2.0,4.0,4.0,4.0,10.0,10.0,37.0,37.0,3.819e-11,3.806e-11,3.812e-11,25.0,1
160,3.0,2.0,2.0,4.0,4.0,4.0,12.0,12.0,33.0,33.0,3.809e-11,3.777e-11,3.793e-11,25.0,1
161,3.0,2.0,2.0,4.0,4.0,4.0,12.0,12.0,35.0,35.0,3.809e-11,3.781e-11,3.795e-11,25.0,1
162,3.0,2.0,2.0,4.0,4.0,4.0,12.0,12.0,37.0,37.0,3.812e-11,3.788e-11,3.8e-11,25.0,1
