index,xinvpa0_size,xnand2_size,xnor3_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
188,1.0,2.0,1.0,3.0,10.0,46.0,4.301e-11,5.36e-11,4.83e-11,25.0,1
189,1.0,2.0,1.0,3.0,10.0,49.0,4.301e-11,5.37e-11,4.836e-11,25.0,1
190,1.0,2.0,2.0,1.0,6.0,31.0,5.095e-11,5.74e-11,5.418e-11,25.0,1
191,1.0,2.0,2.0,1.0,6.0,34.0,5.073e-11,5.748e-11,5.411e-11,25.0,1
192,1.0,2.0,2.0,1.0,6.0,37.0,5.066e-11,5.764e-11,5.415e-11,25.0,1
193,1.0,2.0,2.0,1.0,6.0,40.0,5.07e-11,5.787e-11,5.429e-11,25.0,1
194,1.0,2.0,2.0,1.0,6.0,43.0,5.082e-11,5.815e-11,5.449e-11,25.0,1
195,1.0,2.0,2.0,1.0,6.0,46.0,5.1e-11,5.847e-11,5.474e-11,25.0,1
196,1.0,2.0,2.0,1.0,6.0,49.0,5.124e-11,5.881e-11,5.503e-11,25.0,1
197,1.0,2.0,2.0,1.0,8.0,31.0,5.195e-11,5.808e-11,5.501e-11,25.0,1
198,1.0,2.0,2.0,1.0,8.0,34.0,5.159e-11,5.802e-11,5.48e-11,25.0,1
199,1.0,2.0,2.0,1.0,8.0,37.0,5.138e-11,5.804e-11,5.471e-11,25.0,1
200,1.0,2.0,2.0,1.0,8.0,40.0,5.129e-11,5.814e-11,5.471e-11,25.0,1
201,1.0,2.0,2.0,1.0,8.0,43.0,5.13e-11,5.828e-11,5.479e-11,25.0,1
202,1.0,2.0,2.0,1.0,8.0,46.0,5.136e-11,5.847e-11,5.491e-11,25.0,1
203,1.0,2.0,2.0,1.0,8.0,49.0,5.149e-11,5.869e-11,5.509e-11,25.0,1
204,1.0,2.0,2.0,1.0,10.0,31.0,5.357e-11,5.941e-11,5.649e-11,25.0,1
205,1.0,2.0,2.0,1.0,10.0,34.0,5.311e-11,5.926e-11,5.618e-11,25.0,1
206,1.0,2.0,2.0,1.0,10.0,37.0,5.283e-11,5.92e-11,5.601e-11,25.0,1
207,1.0,2.0,2.0,1.0,10.0,40.0,5.267e-11,5.921e-11,5.594e-11,25.0,1
208,1.0,2.0,2.0,1.0,10.0,43.0,5.259e-11,5.927e-11,5.593e-11,25.0,1
209,1.0,2.0,2.0,1.0,10.0,46.0,5.259e-11,5.939e-11,5.599e-11,25.0,1
210,1.0,2.0,2.0,1.0,10.0,49.0,5.264e-11,5.952e-11,5.608e-11,25.0,1
211,1.0,2.0,2.0,2.0,6.0,31.0,4.742e-11,5.5e-11,5.121e-11,25.0,1
212,1.0,2.0,2.0,2.0,6.0,34.0,4.716e-11,5.506e-11,5.111e-11,25.0,1
213,1.0,2.0,2.0,2.0,6.0,37.0,4.706e-11,5.521e-11,5.113e-11,25.0,1
214,1.0,2.0,2.0,2.0,6.0,40.0,4.707e-11,5.542e-11,5.125e-11,25.0,1
215,1.0,2.0,2.0,2.0,6.0,43.0,4.716e-11,5.569e-11,5.143e-11,25.0,1
216,1.0,2.0,2.0,2.0,6.0,46.0,4.733e-11,5.6e-11,5.167e-11,25.0,1
217,1.0,2.0,2.0,2.0,6.0,49.0,4.754e-11,5.634e-11,5.194e-11,25.0,1
218,1.0,2.0,2.0,2.0,8.0,31.0,4.712e-11,5.458e-11,5.085e-11,25.0,1
219,1.0,2.0,2.0,2.0,8.0,34.0,4.672e-11,5.449e-11,5.061e-11,25.0,1
220,1.0,2.0,2.0,2.0,8.0,37.0,4.648e-11,5.45e-11,5.049e-11,25.0,1
221,1.0,2.0,2.0,2.0,8.0,40.0,4.636e-11,5.457e-11,5.046e-11,25.0,1
222,1.0,2.0,2.0,2.0,8.0,43.0,4.632e-11,5.469e-11,5.051e-11,25.0,1
223,1.0,2.0,2.0,2.0,8.0,46.0,4.636e-11,5.486e-11,5.061e-11,25.0,1
224,1.0,2.0,2.0,2.0,8.0,49.0,4.645e-11,5.506e-11,5.076e-11,25.0,1
225,1.0,2.0,2.0,2.0,10.0,31.0,4.744e-11,5.482e-11,5.113e-11,25.0,1
226,1.0,2.0,2.0,2.0,10.0,34.0,4.696e-11,5.465e-11,5.08e-11,25.0,1
227,1.0,2.0,2.0,2.0,10.0,37.0,4.663e-11,5.456e-11,5.06e-11,25.0,1
228,1.0,2.0,2.0,2.0,10.0,40.0,4.643e-11,5.455e-11,5.049e-11,25.0,1
229,1.0,2.0,2.0,2.0,10.0,43.0,4.632e-11,5.459e-11,5.045e-11,25.0,1
230,1.0,2.0,2.0,2.0,10.0,46.0,4.629e-11,5.467e-11,5.048e-11,25.0,1
231,1.0,2.0,2.0,2.0,10.0,49.0,4.63e-11,5.479e-11,5.055e-11,25.0,1
232,1.0,2.0,2.0,3.0,6.0,31.0,4.677e-11,5.515e-11,5.096e-11,25.0,1
233,1.0,2.0,2.0,3.0,6.0,34.0,4.65e-11,5.521e-11,5.086e-11,25.0,1
234,1.0,2.0,2.0,3.0,6.0,37.0,4.638e-11,5.535e-11,5.087e-11,25.0,1
235,1.0,2.0,2.0,3.0,6.0,40.0,4.639e-11,5.557e-11,5.098e-11,25.0,1
236,1.0,2.0,2.0,3.0,6.0,43.0,4.648e-11,5.584e-11,5.116e-11,25.0,1
237,1.0,2.0,2.0,3.0,6.0,46.0,4.663e-11,5.614e-11,5.139e-11,25.0,1
238,1.0,2.0,2.0,3.0,6.0,49.0,4.684e-11,5.648e-11,5.166e-11,25.0,1
239,1.0,2.0,2.0,3.0,8.0,31.0,4.603e-11,5.435e-11,5.019e-11,25.0,1
240,1.0,2.0,2.0,3.0,8.0,34.0,4.562e-11,5.425e-11,4.994e-11,25.0,1
241,1.0,2.0,2.0,3.0,8.0,37.0,4.537e-11,5.425e-11,4.981e-11,25.0,1
242,1.0,2.0,2.0,3.0,8.0,40.0,4.523e-11,5.432e-11,4.977e-11,25.0,1
243,1.0,2.0,2.0,3.0,8.0,43.0,4.518e-11,5.444e-11,4.981e-11,25.0,1
244,1.0,2.0,2.0,3.0,8.0,46.0,4.521e-11,5.46e-11,4.99e-11,25.0,1
245,1.0,2.0,2.0,3.0,8.0,49.0,4.528e-11,5.479e-11,5.004e-11,25.0,1
