index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
140,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,18.0,18.0,75.0,75.0,1.39e-10,1.395e-10,1.392e-10,25.0,1
141,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,20.0,20.0,67.0,67.0,1.391e-10,1.393e-10,1.392e-10,25.0,1
142,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,20.0,20.0,69.0,69.0,1.391e-10,1.394e-10,1.392e-10,25.0,1
143,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,20.0,20.0,71.0,71.0,1.391e-10,1.394e-10,1.393e-10,25.0,1
144,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,20.0,20.0,73.0,73.0,1.392e-10,1.395e-10,1.393e-10,25.0,1
145,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,20.0,20.0,75.0,75.0,1.392e-10,1.395e-10,1.394e-10,25.0,1
146,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,22.0,22.0,67.0,67.0,1.394e-10,1.395e-10,1.394e-10,25.0,1
147,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,22.0,22.0,69.0,69.0,1.394e-10,1.395e-10,1.395e-10,25.0,1
148,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,22.0,22.0,71.0,71.0,1.394e-10,1.396e-10,1.395e-10,25.0,1
149,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,22.0,22.0,73.0,73.0,1.394e-10,1.396e-10,1.395e-10,25.0,1
150,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,4.0,4.0,22.0,22.0,75.0,75.0,1.394e-10,1.397e-10,1.396e-10,25.0,1
151,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,5.0,5.0,18.0,18.0,67.0,67.0,1.383e-10,1.388e-10,1.386e-10,25.0,1
152,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,5.0,5.0,18.0,18.0,69.0,69.0,1.384e-10,1.389e-10,1.386e-10,25.0,1
153,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,5.0,5.0,18.0,18.0,71.0,71.0,1.384e-10,1.389e-10,1.387e-10,25.0,1
154,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,5.0,5.0,18.0,18.0,73.0,73.0,1.384e-10,1.39e-10,1.387e-10,25.0,1
155,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,5.0,5.0,18.0,18.0,75.0,75.0,1.385e-10,1.39e-10,1.388e-10,25.0,1
156,3.0,3.0,4.0,2.0,2.0,6.0,2.0,2.0,5.0,5.0,20.0,20.0,67.0,67.0,1.384e-10,1.388e-10,1.386e-10,25.0,1
