index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,tplh,tphl,tp,temper,alter#
106,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,9.0,9.0,49.0,49.0,5.262e-11,4.801e-11,5.032e-11,25.0,1
107,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,9.0,9.0,51.0,51.0,5.269e-11,4.813e-11,5.041e-11,25.0,1
108,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,9.0,9.0,53.0,53.0,5.276e-11,4.826e-11,5.051e-11,25.0,1
109,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,9.0,9.0,55.0,55.0,5.284e-11,4.84e-11,5.062e-11,25.0,1
110,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,9.0,9.0,57.0,57.0,5.294e-11,4.854e-11,5.074e-11,25.0,1
111,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,11.0,11.0,49.0,49.0,5.277e-11,4.796e-11,5.037e-11,25.0,1
112,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,11.0,11.0,51.0,51.0,5.278e-11,4.804e-11,5.041e-11,25.0,1
113,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,11.0,11.0,53.0,53.0,5.282e-11,4.812e-11,5.047e-11,25.0,1
114,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,11.0,11.0,55.0,55.0,5.287e-11,4.822e-11,5.054e-11,25.0,1
115,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,11.0,11.0,57.0,57.0,5.293e-11,4.833e-11,5.063e-11,25.0,1
116,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,13.0,13.0,49.0,49.0,5.325e-11,4.828e-11,5.077e-11,25.0,1
117,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,13.0,13.0,51.0,51.0,5.324e-11,4.833e-11,5.078e-11,25.0,1
118,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,13.0,13.0,53.0,53.0,5.325e-11,4.839e-11,5.082e-11,25.0,1
119,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,13.0,13.0,55.0,55.0,5.327e-11,4.845e-11,5.086e-11,25.0,1
120,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,13.0,13.0,57.0,57.0,5.33e-11,4.853e-11,5.092e-11,25.0,1
121,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,9.0,9.0,49.0,49.0,5.176e-11,4.712e-11,4.944e-11,25.0,1
122,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,9.0,9.0,51.0,51.0,5.181e-11,4.724e-11,4.952e-11,25.0,1
123,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,9.0,9.0,53.0,53.0,5.187e-11,4.737e-11,4.962e-11,25.0,1
124,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,9.0,9.0,55.0,55.0,5.195e-11,4.75e-11,4.973e-11,25.0,1
125,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,9.0,9.0,57.0,57.0,5.204e-11,4.765e-11,4.985e-11,25.0,1
126,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,11.0,11.0,49.0,49.0,5.148e-11,4.671e-11,4.909e-11,25.0,1
127,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,11.0,11.0,51.0,51.0,5.149e-11,4.678e-11,4.913e-11,25.0,1
128,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,11.0,11.0,53.0,53.0,5.151e-11,4.687e-11,4.919e-11,25.0,1
129,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,11.0,11.0,55.0,55.0,5.155e-11,4.696e-11,4.925e-11,25.0,1
130,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,11.0,11.0,57.0,57.0,5.161e-11,4.705e-11,4.933e-11,25.0,1
131,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,13.0,13.0,49.0,49.0,5.155e-11,4.667e-11,4.911e-11,25.0,1
132,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,13.0,13.0,51.0,51.0,5.152e-11,4.672e-11,4.912e-11,25.0,1
133,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,13.0,13.0,53.0,53.0,5.152e-11,4.677e-11,4.915e-11,25.0,1
134,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,13.0,13.0,55.0,55.0,5.154e-11,4.683e-11,4.918e-11,25.0,1
135,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,13.0,13.0,57.0,57.0,5.156e-11,4.69e-11,4.923e-11,25.0,1
136,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,9.0,9.0,49.0,49.0,6.448e-11,5.745e-11,6.096e-11,25.0,1
137,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,9.0,9.0,51.0,51.0,6.455e-11,5.759e-11,6.107e-11,25.0,1
138,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,9.0,9.0,53.0,53.0,6.465e-11,5.773e-11,6.119e-11,25.0,1
139,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,9.0,9.0,55.0,55.0,6.476e-11,5.788e-11,6.132e-11,25.0,1
140,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,9.0,9.0,57.0,57.0,6.487e-11,5.803e-11,6.145e-11,25.0,1
141,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,11.0,11.0,49.0,49.0,6.59e-11,5.854e-11,6.222e-11,25.0,1
142,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,11.0,11.0,51.0,51.0,6.594e-11,5.863e-11,6.228e-11,25.0,1
143,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,11.0,11.0,53.0,53.0,6.6e-11,5.873e-11,6.236e-11,25.0,1
144,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,11.0,11.0,55.0,55.0,6.607e-11,5.884e-11,6.245e-11,25.0,1
145,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,11.0,11.0,57.0,57.0,6.614e-11,5.896e-11,6.255e-11,25.0,1
146,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,13.0,13.0,49.0,49.0,6.77e-11,6e-11,6.385e-11,25.0,1
147,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,13.0,13.0,51.0,51.0,6.771e-11,6.006e-11,6.389e-11,25.0,1
148,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,13.0,13.0,53.0,53.0,6.774e-11,6.013e-11,6.393e-11,25.0,1
149,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,13.0,13.0,55.0,55.0,6.778e-11,6.021e-11,6.4e-11,25.0,1
150,1.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,13.0,13.0,57.0,57.0,6.782e-11,6.03e-11,6.406e-11,25.0,1
151,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,9.0,9.0,49.0,49.0,5.87e-11,5.226e-11,5.548e-11,25.0,1
152,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,9.0,9.0,51.0,51.0,5.876e-11,5.238e-11,5.557e-11,25.0,1
153,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,9.0,9.0,53.0,53.0,5.884e-11,5.251e-11,5.567e-11,25.0,1
