index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
85,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,17.0,17.0,71.0,71.0,4.716e-11,5.636e-11,5.176e-11,25.0,1
86,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,19.0,19.0,63.0,63.0,4.702e-11,5.603e-11,5.153e-11,25.0,1
87,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,19.0,19.0,65.0,65.0,4.703e-11,5.607e-11,5.155e-11,25.0,1
88,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,19.0,19.0,67.0,67.0,4.705e-11,5.611e-11,5.158e-11,25.0,1
89,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,19.0,19.0,69.0,69.0,4.706e-11,5.615e-11,5.161e-11,25.0,1
90,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,6.0,19.0,19.0,71.0,71.0,4.709e-11,5.62e-11,5.164e-11,25.0,1
91,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,15.0,15.0,63.0,63.0,5.647e-11,7.177e-11,6.412e-11,25.0,1
92,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,15.0,15.0,65.0,65.0,5.651e-11,7.184e-11,6.417e-11,25.0,1
93,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,15.0,15.0,67.0,67.0,5.656e-11,7.191e-11,6.423e-11,25.0,1
94,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,15.0,15.0,69.0,69.0,5.661e-11,7.199e-11,6.43e-11,25.0,1
95,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,15.0,15.0,71.0,71.0,5.667e-11,7.208e-11,6.437e-11,25.0,1
96,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,17.0,17.0,63.0,63.0,5.656e-11,7.174e-11,6.415e-11,25.0,1
97,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,17.0,17.0,65.0,65.0,5.659e-11,7.179e-11,6.419e-11,25.0,1
98,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,17.0,17.0,67.0,67.0,5.662e-11,7.185e-11,6.423e-11,25.0,1
99,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,17.0,17.0,69.0,69.0,5.666e-11,7.191e-11,6.428e-11,25.0,1
100,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,17.0,17.0,71.0,71.0,5.669e-11,7.198e-11,6.434e-11,25.0,1
101,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,19.0,19.0,63.0,63.0,5.676e-11,7.185e-11,6.431e-11,25.0,1
102,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,19.0,19.0,65.0,65.0,5.677e-11,7.189e-11,6.433e-11,25.0,1
103,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,19.0,19.0,67.0,67.0,5.68e-11,7.193e-11,6.436e-11,25.0,1
104,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,19.0,19.0,69.0,69.0,5.682e-11,7.198e-11,6.44e-11,25.0,1
105,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,4.0,19.0,19.0,71.0,71.0,5.685e-11,7.204e-11,6.444e-11,25.0,1
106,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,15.0,15.0,63.0,63.0,5.669e-11,7.214e-11,6.442e-11,25.0,1
107,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,15.0,15.0,65.0,65.0,5.672e-11,7.221e-11,6.447e-11,25.0,1
108,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,15.0,15.0,67.0,67.0,5.677e-11,7.229e-11,6.453e-11,25.0,1
109,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,15.0,15.0,69.0,69.0,5.682e-11,7.237e-11,6.459e-11,25.0,1
110,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,15.0,15.0,71.0,71.0,5.687e-11,7.245e-11,6.466e-11,25.0,1
111,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,17.0,17.0,63.0,63.0,5.665e-11,7.203e-11,6.434e-11,25.0,1
112,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,17.0,17.0,65.0,65.0,5.667e-11,7.207e-11,6.437e-11,25.0,1
113,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,17.0,17.0,67.0,67.0,5.671e-11,7.213e-11,6.442e-11,25.0,1
114,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,17.0,17.0,69.0,69.0,5.674e-11,7.219e-11,6.447e-11,25.0,1
115,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,17.0,17.0,71.0,71.0,5.678e-11,7.226e-11,6.452e-11,25.0,1
116,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,19.0,19.0,63.0,63.0,5.674e-11,7.203e-11,6.438e-11,25.0,1
117,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,19.0,19.0,65.0,65.0,5.675e-11,7.206e-11,6.441e-11,25.0,1
118,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,19.0,19.0,67.0,67.0,5.676e-11,7.211e-11,6.443e-11,25.0,1
119,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,19.0,19.0,69.0,69.0,5.679e-11,7.215e-11,6.447e-11,25.0,1
120,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,5.0,5.0,19.0,19.0,71.0,71.0,5.682e-11,7.221e-11,6.451e-11,25.0,1
121,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,15.0,15.0,63.0,63.0,5.722e-11,7.282e-11,6.502e-11,25.0,1
